Name,YT Scope Project,
File,H:\Explicit_MPC_on_PLC\Quad-Tank\Data_Capture\Coupled_PID_v1.csv,
Starttime of export,132660227013120000,Thursday, May 20, 2021,18:18:21.312
Endtime of export,132660227842843821,Thursday, May 20, 2021,18:19:44.284


Name,fActualValueToScope_1,Name,fActualValueToScope_2,Name,fOutToScope_1,Name,fOutToScope_2,Name,fSetpointValueToScope_1,Name,fSetpointValueToScope_2
SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
SymbolName,GVL.fActualValueToScope_1,SymbolName,GVL.fActualValueToScope_2,SymbolName,GVL.fOutToScope_1,SymbolName,GVL.fOutToScope_2,SymbolName,GVL.fSetpointValueToScope_1,SymbolName,GVL.fSetpointValueToScope_2
NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1
Port,851,Port,851,Port,851,Port,851,Port,851,Port,851


0,-0.14893032610416412,0,0.0085451826453208923,0,4.6182665824890137,0,21,0,1,0,3
50,-0.14984588325023651,50,0.0082399975508451462,50,4.9631757736206055,50,21,50,1,50,3
100,-0.15015107393264771,100,0.0085451826453208923,100,5.3041386604309082,100,21,100,1,100,3
150,-0.15015107393264771,150,0.0076296273618936539,150,5.6275081634521484,150,21,150,1,150,3
200,-0.14893032610416412,200,0.0073244422674179077,200,5.9754047393798828,200,21,200,1,200,3
250,-0.14893032610416412,250,0.0057985167950391769,250,6.3075952529907227,250,21,250,1,250,3
300,-0.14801476895809174,300,0.0057985167950391769,300,6.6518669128417969,300,21,300,1,300,3
350,-0.14770957827568054,350,0.0082399975508451462,350,6.9905424118041992,350,21,350,1,350,3
400,-0.14709921181201935,400,0.0088503677397966385,400,7.3394021987915039,400,21,400,1,400,3
450,-0.14709921181201935,450,0.010376293212175369,450,7.6767568588256836,450,21,450,1,450,3
500,-0.14648884534835815,500,0.012512588873505592,500,8.024749755859375,500,21,500,1,500,3
550,-0.14648884534835815,550,0.012512588873505592,550,8.3807373046875,550,21,550,1,550,3
600,-0.14709921181201935,600,0.014343699440360069,600,8.70956039428711,600,21,600,1,600,3
650,-0.14618365466594696,650,0.018311105668544769,650,9.06120491027832,650,21,650,1,650,3
700,-0.14648884534835815,700,0.024414807558059692,700,9.3961572647094727,700,20.912693023681641,700,1,700,3
750,-0.14587847888469696,750,0.0631733164191246,750,9.786921501159668,750,20.692966461181641,750,1,750,3
800,-0.14557328820228577,800,0.045167393982410431,800,10.261753082275391,800,20.425968170166016,800,1,800,3
850,-0.14587847888469696,850,0.10589922964572907,850,10.746543884277344,850,20.153369903564453,850,1,850,3
900,-0.14526811242103577,900,0.13275551795959473,900,11.246055603027344,900,19.872495651245117,900,1,900,3
950,-0.14526811242103577,950,0.1031525582075119,950,11.753968238830566,950,19.586894989013672,950,1,950,3
1000,-0.14557328820228577,1000,0.11383403837680817,1000,12.24840259552002,1000,19.308876037597656,1000,1,1000,3
1050,-0.14496292173862457,1050,0.15259253978729248,1050,12.736013412475586,1050,19.034690856933594,1050,1,1050,3
1100,-0.14404736459255219,1100,0.16449478268623352,1100,13.243051528930664,1100,18.749584197998047,1100,1,1100,3
1150,-0.14435255527496338,1150,0.16052736341953278,1150,13.457107543945313,1150,18.629220962524414,1150,1,1150,3
1200,-0.143742173910141,1200,0.15747550129890442,1200,13.524787902832031,1200,18.591163635253906,1200,1,1200,3
1250,-0.143742173910141,1250,0.15808588266372681,1250,13.546188354492188,1250,18.579130172729492,1250,1,1250,3
1300,-0.1428266167640686,1300,0.17181921005249023,1300,13.55295467376709,1300,18.575325012207031,1300,1,1300,3
1350,-0.1428266167640686,1350,0.21210364997386932,1350,13.555094718933106,1350,18.574123382568359,1350,1,1350,3
1400,-0.1428266167640686,1400,0.22583696246147156,1400,13.555769920349121,1400,18.573741912841797,1400,1,1400,3
1450,-0.1425214409828186,1450,0.2536088228225708,1450,13.555984497070313,1450,18.57362174987793,1450,1,1450,3
1500,-0.1431318074464798,1500,0.25269326567649841,1500,13.556051254272461,1500,18.573583602905273,1500,1,1500,3
1550,-0.1428266167640686,1550,0.26764732599258423,1550,13.556073188781738,1550,18.573572158813477,1550,1,1550,3
1600,-0.143436998128891,1600,0.269783616065979,1600,13.556078910827637,1600,18.573570251464844,1600,1,1600,3
