Name,YT Scope Project,
File,H:\Explicit_MPC_on_PLC\Quad-Tank\Data_Capture\Explicit_18regions.csv,
Starttime of export,132661033789190000,Friday, May 21, 2021,16:42:58.919
Endtime of export,132661034946622983,Friday, May 21, 2021,16:44:54.662


Name,fActualValueToScope_1,Name,fActualValueToScope_2,Name,fOutToScope_1,Name,fOutToScope_2,Name,fSetpointValueToScope_1,Name,fSetpointValueToScope_2
SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10,SampleTime,10
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
SymbolName,GVL.fActualValueToScope_1,SymbolName,GVL.fActualValueToScope_2,SymbolName,GVL.fOutToScope_1,SymbolName,GVL.fOutToScope_2,SymbolName,GVL.fSetpointValueToScope_1,SymbolName,GVL.fSetpointValueToScope_2
NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1
Port,851,Port,851,Port,851,Port,851,Port,851,Port,851


0,11.874387741088867,0,13.924927711486816,0,4.2500123977661133,0,9.12369441986084,0,10,0,14
10,11.880372047424316,10,13.920938491821289,10,4.2500123977661133,10,9.1233720779418945,10,10,10,14
20,11.884361267089844,20,13.932908058166504,20,4.2500123977661133,20,9.1229896545410156,20,10,20,14
30,11.866409301757813,30,13.926922798156738,30,4.2500123977661133,30,9.1226272583007812,30,10,30,14
40,11.892340660095215,40,13.930912971496582,40,4.2500123977661133,40,9.1222343444824219,40,10,40,14
50,11.878376960754395,50,13.936897277832031,50,4.2500123977661133,50,9.12177848815918,50,10,50,14
60,11.868403434753418,60,13.932908058166504,60,4.2500123977661133,60,9.1213207244873047,60,10,60,14
70,11.878376960754395,70,13.932908058166504,70,4.2500123977661133,70,9.1208591461181641,70,10,70,14
80,11.854440689086914,80,13.922933578491211,80,4.2500123977661133,80,9.1204900741577148,80,10,80,14
90,11.87039852142334,90,13.916949272155762,90,4.2500123977661133,90,9.1202182769775391,90,10,90,14
100,11.874387741088867,100,13.926922798156738,100,4.2500123977661133,100,9.11992359161377,100,10,100,14
110,11.864414215087891,110,13.930912971496582,110,4.2500123977661133,110,9.1195831298828125,110,10,110,14
120,11.90031909942627,120,13.932908058166504,120,4.2500123977661133,120,9.1191854476928711,120,10,120,14
130,11.89433479309082,130,13.934902191162109,130,4.2500123977661133,130,9.11873722076416,130,10,130,14
140,11.892340660095215,140,13.932908058166504,140,4.2500123977661133,140,9.1182785034179688,140,10,140,14
150,11.912286758422852,150,13.934902191162109,150,4.2500123977661133,150,9.1177864074707031,150,10,150,14
160,11.892340660095215,160,13.930912971496582,160,4.2500123977661133,160,9.1173171997070312,160,10,160,14
170,11.908297538757324,170,13.930912971496582,170,4.2500123977661133,170,9.1168575286865234,170,10,170,14
180,11.91029167175293,180,13.938891410827637,180,4.2500123977661133,180,9.1163330078125,180,10,180,14
190,11.89433479309082,190,13.932908058166504,190,4.2500123977661133,190,9.1158275604248047,190,10,190,14
200,11.912286758422852,200,13.924927711486816,200,4.2500123977661133,200,9.1153945922851562,200,10,200,14
210,11.882366180419922,210,13.924927711486816,210,4.2500123977661133,210,9.115015983581543,210,10,210,14
220,11.87039852142334,220,13.924927711486816,220,4.2500123977661133,220,9.1146774291992188,220,10,220,14
230,11.884361267089844,230,13.926922798156738,230,4.2500123977661133,230,9.1143398284912109,230,10,230,14
240,11.864414215087891,240,13.922933578491211,240,4.2500123977661133,240,9.1140432357788086,240,10,240,14
250,11.886355400085449,250,13.918944358825684,250,4.2500123977661133,250,9.1137981414794922,250,10,250,14
260,11.890345573425293,260,13.920938491821289,260,4.2500123977661133,260,9.1135635375976562,260,10,260,14
270,11.884361267089844,270,13.918944358825684,270,4.2500123977661133,270,9.1133565902709961,270,10,270,14
280,11.922261238098145,280,13.926922798156738,280,4.2500123977661133,280,9.1130828857421875,280,10,280,14
290,11.898324012756348,290,13.938891410827637,290,4.2500123977661133,290,9.1126775741577148,290,10,290,14
