Name,YT Scope Project,
File,H:\Explicit_MPC_on_PLC\Quad-Tank\Data_Capture\Scope Project.csv,
Starttime of export,132660185944220000,Thursday, May 20, 2021,17:09:54.422
Endtime of export,132660187127720000,Thursday, May 20, 2021,17:11:52.772


Name,fActualValueToScope_1,Name,fActualValueToScope_2,Name,fOutToScope_1,Name,fOutToScope_2,Name,fSetpointValueToScope_1,Name,fSetpointValueToScope_2
SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50,SampleTime,50
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
SymbolName,GVL.fActualValueToScope_1,SymbolName,GVL.fActualValueToScope_2,SymbolName,GVL.fOutToScope_1,SymbolName,GVL.fOutToScope_2,SymbolName,GVL.fSetpointValueToScope_1,SymbolName,GVL.fSetpointValueToScope_2
NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1,NetID,5.84.189.16.1.1
Port,851,Port,851,Port,851,Port,851,Port,851,Port,851


0,0,0,0,0,0,0,0,0,0,0,0
50,0,50,0,50,0,50,0,50,0,50,0
100,0,100,0,100,0,100,0,100,0,100,0
150,0,150,0,150,0,150,0,150,0,150,0
200,0,200,0,200,0,200,0,200,0,200,0
250,0,250,0,250,0,250,0,250,0,250,0
300,0,300,0,300,0,300,0,300,0,300,0
350,0,350,0,350,0,350,0,350,0,350,0
400,0,400,0,400,0,400,0,400,0,400,0
450,0,450,0,450,0,450,0,450,0,450,0
500,0,500,0,500,0,500,0,500,0,500,0
550,0,550,0,550,0,550,0,550,0,550,0
600,0,600,0,600,0,600,0,600,0,600,0
650,0,650,0,650,0,650,0,650,0,650,0
700,0,700,0,700,0,700,0,700,0,700,0
750,0,750,0,750,0,750,0,750,0,750,0
800,0,800,0,800,0,800,0,800,0,800,0
850,0,850,0,850,0,850,0,850,0,850,0
900,0,900,0,900,0,900,0,900,0,900,0
950,0,950,0,950,0,950,0,950,0,950,0
1000,0,1000,0,1000,0,1000,0,1000,0,1000,0
1050,0,1050,0,1050,0,1050,0,1050,0,1050,0
1100,0,1100,0,1100,0,1100,0,1100,0,1100,0
1150,0,1150,0,1150,0,1150,0,1150,0,1150,0
1200,0,1200,0,1200,0,1200,0,1200,0,1200,0
1250,0,1250,0,1250,0,1250,0,1250,0,1250,0
1300,0,1300,0,1300,0,1300,0,1300,0,1300,0
1350,0,1350,0,1350,0,1350,0,1350,0,1350,0
1400,0,1400,0,1400,0,1400,0,1400,0,1400,0
1450,0,1450,0,1450,0,1450,0,1450,0,1450,0
1500,0,1500,0,1500,0,1500,0,1500,0,1500,0
1550,0,1550,0,1550,0,1550,0,1550,0,1550,0
1600,0,1600,0,1600,0,1600,0,1600,0,1600,0
1650,0,1650,0,1650,0,1650,0,1650,0,1650,0
1700,0,1700,0,1700,0,1700,0,1700,0,1700,0
1750,0,1750,0,1750,0,1750,0,1750,0,1750,0
1800,0,1800,0,1800,0,1800,0,1800,0,1800,0
1850,0,1850,0,1850,0,1850,0,1850,0,1850,0
1900,0,1900,0,1900,0,1900,0,1900,0,1900,0
1950,0,1950,0,1950,0,1950,0,1950,0,1950,0
2000,0,2000,0,2000,0,2000,0,2000,0,2000,0
2050,0,2050,0,2050,0,2050,0,2050,0,2050,0
2100,0,2100,0,2100,0,2100,0,2100,0,2100,0
2150,0,2150,0,2150,0,2150,0,2150,0,2150,0
2200,0,2200,0,2200,0,2200,0,2200,0,2200,0
2250,0,2250,0,2250,0,2250,0,2250,0,2250,0
2300,0,2300,0,2300,0,2300,0,2300,0,2300,0
2350,0,2350,0,2350,0,2350,0,2350,0,2350,0
2400,0,2400,0,2400,0,2400,0,2400,0,2400,0
2450,0,2450,0,2450,0,2450,0,2450,0,2450,0
2500,0,2500,0,2500,0,2500,0,2500,0,2500,0
2550,0,2550,0,2550,0,2550,0,2550,0,2550,0
2600,0,2600,0,2600,0,2600,0,2600,0,2600,0
2650,0,2650,0,2650,0,2650,0,2650,0,2650,0
2700,0,2700,0,2700,0,2700,0,2700,0,2700,0
2750,0,2750,0,2750,0,2750,0,2750,0,2750,0
2800,0,2800,0,2800,0,2800,0,2800,0,2800,0
2850,0,2850,0,2850,0,2850,0,2850,0,2850,0
2900,0,2900,0,2900,0,2900,0,2900,0,2900,0
2950,0,2950,0,2950,0,2950,0,2950,0,2950,0
3000,0,3000,0,3000,0,3000,0,3000,0,3000,0
